label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55
_free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_dest_hourly_peak_parking_cost,187.43730969902126,512.2238984614543,12.130475280815276,4.446588626510379,6.095377200527882,12.82942593291068,7.0142285959832105,9.366602331536852,2.1982924572860787,11.488073665737994,12.062996514953728,3.945345149650036,8.435374569650673,0.0,0.0,0.10636584579002913,0.0,1.5453411313450534,6.691038650957581,5.8501424926014165,25.536953009699694,8.227592367594957,1.2791796246477611,7.772908739494567,5.3966345755489655,5.4141097283264985,0.0,107.72985735376758,22.372093003946155,7.493571339500201,29.30868616560192,8.501873834507172,4.446588626510379,12.82942593291068,7.0142285959832105,20.2933077289404,8.678479238126911,47.11135589524581,0.0,5.322562702516201,1.5248558946621422,2.8936557996721173,6.467580142365187,1.5453411313450534,0.0,2.4313508314945587,4.760684470958027,2.3387632088766064,3.7942092716022087,5.3966345755489655,5.476897962696621,242.6827858224381,15.297751474829242,26.086780553702763,0.7396414166374775
_dest_hourly_offpeak_parking_cost,604.968320806092,1506.8458225741385,38.077909210844346,14.021963747061742,19.306294159188443,40.52786113205735,22.68191596938475,30.137300108150004,6.985458656334207,35.54243193853547,27.524590465166717,0.0,26.46429694518289,0.0,0.03987549292145332,0.3241084477607545,0.0,4.886506642719418,17.64253913258939,12.90032129087345,68.6439726565672,17.522356035754115,3.927295401619527,15.537693539582849,15.230885750928685,15.472265207569857,0.0,335.95963498220385,66.61075597066977,23.087334074172944,92.84718884242464,28.057168979635183,14.021963747061742,40.52786113205735,22.68191596938475,65.450025256706,15.101468807282572,140.91447861085697,0.0,15.45163498535326,2.4688883126286068,8.308901262951917,20.66433200891817,4.886506642719418,0.0,8.206938051810642,10.984439508682101,7.008219352625402,11.54948534333825,15.230885750928685,9.609375011893448,669.9276854962595,46.550194784407815,73.28044921199589,2.7262566009956624
_hourly_peak_parking_cost,187.43730969902126,512.2238984614543,12.130475280815276,4.446588626510379,6.095377200527882,12.82942593291068,7.0142285959832105,9.366602331536852,2.1982924572860787,11.488073665737994,12.062996514953728,3.945345149650036,8.435374569650673,0.0,0.0,0.10636584579002913,0.0,1.5453411313450534,6.691038650957581,5.8501424926014165,25.536953009699694,8.227592367594957,1.2791796246477611,7.772908739494567,5.3966345755489655,5.4141097283264985,0.0,107.72985735376758,22.372093003946155,7.493571339500201,29.30868616560192,8.501873834507172,4.446588626510379,12.82942593291068,7.0142285959832105,20.2933077289404,8.678479238126911,47.11135589524581,0.0,5.322562702516201,1.5248558946621422,2.8936557996721173,6.467580142365187,1.5453411313450534,0.0,2.4313508314945587,4.760684470958027,2.3387632088766064,3.7942092716022087,5.3966345755489655,5.476897962696621,242.6827858224381,15.297751474829242,26.086780553702763,0.7396414166374775
_hourly_offpeak_parking_cost,604.968320806092,1506.8458225741385,38.077909210844346,14.021963747061742,19.306294159188443,40.52786113205735,22.68191596938475,30.137300108150004,6.985458656334207,35.54243193853547,27.524590465166717,0.0,26.46429694518289,0.0,0.03987549292145332,0.3241084477607545,0.0,4.886506642719418,17.64253913258939,12.90032129087345,68.6439726565672,17.522356035754115,3.927295401619527,15.537693539582849,15.230885750928685,15.472265207569857,0.0,335.95963498220385,66.61075597066977,23.087334074172944,92.84718884242464,28.057168979635183,14.021963747061742,40.52786113205735,22.68191596938475,65.450025256706,15.101468807282572,140.91447861085697,0.0,15.45163498535326,2.4688883126286068,8.308901262951917,20.66433200891817,4.886506642719418,0.0,8.206938051810642,10.984439508682101,7.008219352625402,11.54948534333825,15.230885750928685,9.609375011893448,669.9276854962595,46.550194784407815,73.28044921199589,2.7262566009956624
daily_parking_cost,5444.714887254829,13561.612403167246,342.7011828975991,126.19767372355568,173.75664743269598,364.7507501885162,204.13724372446276,271.23570097335005,62.869127907007865,319.88188744681923,247.72131418650045,0.0,238.17867250664602,0.0,0.3588794362930799,2.9169760298467904,0.0,43.97855978447476,158.7828521933045,116.10289161786105,617.7957539091049,157.70120432178703,35.34565861457574,139.83924185624565,137.07797175835816,139.25038686812871,0.0,3023.636714839835,599.4968037360279,207.78600666755648,835.6246995818218,252.51452081671664,126.19767372355568,364.7507501885162,204.13724372446276,589.050227310354,135.91321926554315,1268.2303074977128,0.0,139.06471486817935,22.21999481365746,74.78011136656725,185.97898808026352,43.97855978447476,0.0,73.86244246629578,98.85995557813891,63.07397417362862,103.94536809004424,137.07797175835816,86.48437510704103,6029.349169466335,418.95175305967035,659.524042907963,24.53630940896096
distance,36.56999969482422,38.650001525878906,36.380001068115234,19.1200008392334,9.029999732971191,11.420000076293945,12.1899995803833,12.600000381469727,12.670000076293945,21.149999618530273,16.940000534057617,17.729999542236328,10.550000190734863,16.440000534057617,20.520000457763672,29.34000015258789,10.930000305175781,5.269999980926514,3.4100000858306885,5.949999809265137,4.460000038146973,8.819999694824219,15.1899995803833,12.859999656677246,16.8799991607666,20.389999389648438,21.579999923706055,29.170000076293945,25.770000457763672,25.760000228881836,21.6299991607666,17.969999313354492,19.1200008392334,11.420000076293945,12.1899995803833,14.399999618530273,13.390000343322754,15.069999694824219,15.039999961853027,9.989999771118164,8.880000114440918,14.25,12.829999923706055,5.269999980926514,3.6600000858306885,6.389999866485596,7.309999942779541,5.0,10.210000038146973,16.8799991607666,21.799999237060547,27.709999084472656,32.72999954223633,33.41999816894531,24.8799991607666
sov_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sovtoll_available,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov2_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2toll_available,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov3_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3toll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_local_available,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False
walk_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_express_available,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_heavyrail_available,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False
walk_lrf_available,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False
drive_commuter_available,False,False,False,False,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
drive_express_available,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
drive_heavyrail_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_lrf_available,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
drive_ferry_available,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
destination_in_cbd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
