label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49
_hourly_offpeak_parking_cost,13.239540453374696,0.3081691205297637,5.869812677100072,0.9008515821885152,0.0,0.0,1.902620998939318,0.3333333107408625,1.761881339557421,22.18454601628564,12.096122178708596,0.9281414929424444,1.1862313819911543,6.053422461735185,0.0,0.0,20.030402530934104,6.279884336595298,0.0,2.6127473731832573,16.91592908881465,0.0,0.1302387870207721,492.2831623656424,11.098022678612649,1.9332566984239692,3.6227921562709335,19.982040433437408,0.0,1.370320971501019,2.6458472742938968,0.3333333107408625,14.277534743411605,1.761881339557421,64.68303130912265,11.172597439638,1.23047941359251,125.53500290481716,0.9281414929424444,11.666692755264961,6.053422461735185,0.0,14.80776574429516,20.030402530934104,13.578317479759411,16.91592908881465,4.22005481035668,2.099758634077669,11.000702856174087
daily_parking_cost,79.43724272024818,1.8490147231785823,35.21887606260043,5.405109493131091,0.0,0.0,11.415725993635908,1.9999998644451749,10.571288037344527,133.10727609771385,72.57673307225157,5.568848957654667,7.117388291946925,36.32053477041111,0.0,0.0,120.18241518560463,37.67930601957179,0.0,15.676484239099544,101.4955745328879,0.0,0.7814327221246327,2953.698974193854,66.58813607167589,11.599540190543815,21.736752937625603,119.89224260062446,0.0,8.221925829006114,15.87508364576338,1.9999998644451749,85.66520846046963,10.571288037344527,388.0981878547359,67.03558463782801,7.382876481555059,753.210017428903,5.568848957654667,70.00015653158977,36.32053477041111,0.0,88.84659446577096,120.18241518560463,81.46990487855646,101.4955745328879,25.32032886214008,12.598551804466014,66.00421713704452
distance,13.01318645477295,38.81166458129883,30.79047966003418,7.780538082122803,4.9578776359558105,1.986121654510498,1.4940226078033447,1.1670559644699097,4.072023868560791,4.703767776489258,1.8931180238723755,2.1746630668640137,1.9631054401397705,0.21993736922740936,0.5555821061134338,1.4618560075759888,1.1791589260101318,1.6667879819869995,2.588256359100342,3.1259448528289795,2.281174659729004,3.5861873626708984,3.7991597652435303,4.155675888061523,6.0896077156066895,11.909233093261719,15.585298538208008,39.73555374145508,19.7808895111084,5.681285381317139,4.760607719421387,1.1670559644699097,1.9448086023330688,4.072023868560791,2.5221424102783203,0.7497288584709167,1.2973220348358154,4.951035499572754,2.1746630668640137,1.9769558906555176,0.21993736922740936,0.5555821061134338,0.6900747418403625,1.1791589260101318,1.266904592514038,2.281174659729004,2.8091979026794434,3.368079900741577,10.500696182250977
sov_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sovtoll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2toll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3toll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_local_available,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
walk_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_express_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_heavyrail_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_lrf_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
drive_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_express_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_heavyrail_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_lrf_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
destination_in_cbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
