label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51
_hourly_peak_parking_cost,2.143767226746658,13.087330117468117,6.049076934369444,13.556454183020891,16.044019827305867,155.33389718332913,0.0,23.18846510931429,0.955036048500124,3.619581222542952,4.072382165239256,0.0,2.409826726688263,2.273291915222364,4.971922357726849,4.852925331984008,1.1412589915818718,2.7204025923213537,322.70349558070126,165.94370782035475,2.013809156547968,3.406761812058768,6.547036656269847,182.39358040857925,4.4806810053865815,6.368484513624972,0.0,16.774647763868643,0.022042242767881744,0.07609186657735371,20.175713901973698,7.924987065534272,0.2679233764909356,0.19307190024502352,2.9463810005014537,1.1228577565357136,4.852925331984008,4.772908935512062,43.20867084705409,116.79605931250357,2.2102464794070875,0.0,15.831698780378636,0.8585188961570424,9.302248096916156,2.2100440108722292,479.3452400040544,248.25111144173528,1.8268267011008013,56.25244466603306,5.196848563651008
_hourly_offpeak_parking_cost,6.742302385902315,38.945280613981545,22.42011169563797,22.952171421580925,50.701441851536245,465.22545941573776,0.0,63.56704500269581,3.2742461098441984,4.633162505721809,11.459026875894361,0.0,7.907182540202102,6.967111079747374,14.277534743411605,11.172597439638,1.23047941359251,8.316184433502134,903.5389058501717,494.18584313311095,5.673589180788232,11.967460128222873,18.629934897481057,485.23429209876235,14.41424683902462,18.06177034713229,0.0,41.87338788908754,0.06795036537689905,0.3081691205297637,46.63184565329331,23.246007589354353,0.0,0.9306843109468697,8.332259172729966,2.9199542411078863,11.172597439638,13.273450513295971,125.53500290481716,294.7579157160455,6.053422461735185,0.0,35.476753808977364,2.6127473731832573,24.04500748492572,6.827829972953872,1017.6927520163105,492.2831623656424,3.3681415700178365,169.68101435938982,0.8716508472901534
daily_parking_cost,60.68072147312083,350.5075255258339,201.78100526074172,206.5695427942283,456.3129766638262,4187.02913474164,0.0,572.1034050242622,29.468214988597786,41.69846255149628,103.13124188304926,0.0,71.16464286181892,62.70399971772637,128.49781269070445,100.553376956742,11.07431472233259,74.8456599015192,8131.850152651545,4447.672588197998,51.06230262709409,107.70714115400585,167.66941407732952,4367.108628888861,129.7282215512216,162.5559331241906,0.0,376.86049100178786,0.6115532883920914,2.7735220847678734,419.68661087963983,209.21406830418917,0.0,8.376158798521827,74.99033255456969,26.279588169970978,100.553376956742,119.46105461966374,1129.8150261433545,2652.821241444409,54.48080215561666,0.0,319.2907842807963,23.514726358649316,216.40506736433147,61.450469756584845,9159.234768146795,4430.548461290781,30.31327413016053,1527.1291292345084,7.844857625611381
distance,12.150025367736816,11.209015846252441,12.004395484924316,39.32514190673828,43.136871337890625,57.40734100341797,25.13030433654785,19.459074020385742,17.977346420288086,12.63468074798584,10.020999908447266,4.9578776359558105,3.3526482582092285,1.7570998668670654,1.9448086023330688,0.7497288584709167,1.2973220348358154,2.275974988937378,6.047932147979736,5.8122639656066895,2.5858230590820312,3.037230968475342,1.6823656558990479,3.955810546875,9.342206954956055,25.895877838134766,14.380878448486328,13.41308879852295,32.61630630493164,38.81166458129883,40.16023254394531,19.399259567260742,14.487807273864746,7.205874919891357,2.6588165760040283,3.21663498878479,0.7497288584709167,1.5778684616088867,4.951035499572754,3.4638476371765137,0.21993736922740936,0.5555821061134338,1.8940954208374023,3.1259448528289795,2.5704197883605957,2.632066011428833,5.276333332061768,4.155675888061523,8.393280029296875,7.865028381347656,5.372734546661377
sov_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sovtoll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2toll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3toll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_local_available,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False
walk_commuter_available,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_express_available,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_heavyrail_available,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_lrf_available,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False
drive_commuter_available,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_express_available,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_heavyrail_available,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_lrf_available,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
destination_in_cbd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
